row_id,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id,made_avg,missed_avg,GAME_ID1,MATCHUP1,LOCATION1,W1,FINAL_MARGIN1,SHOT_NUMBER1,PERIOD1,GAME_CLOCK1,SHOT_CLOCK1,DRIBBLES1,TOUCH_TIME1,SHOT_DIST1,PTS_TYPE1,SHOT_RESULT1,CLOSEST_DEFENDER1,CLOSEST_DEFENDER_PLAYER_ID1,CLOSE_DEF_DIST1,FGM1,PTS1,player_name1,player_id1,made_avg1,missed_avg1,GAME_ID2,MATCHUP2,LOCATION2,W2,FINAL_MARGIN2,SHOT_NUMBER2,PERIOD2,GAME_CLOCK2,SHOT_CLOCK2,DRIBBLES2,TOUCH_TIME2,SHOT_DIST2,PTS_TYPE2,SHOT_RESULT2,CLOSEST_DEFENDER2,CLOSEST_DEFENDER_PLAYER_ID2,CLOSE_DEF_DIST2,FGM2,PTS2,player_name2,player_id2,made_avg2,missed_avg2
8585,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,7,2,178,9.8,1,5,4.8,2,0,"Ibaka, Serge",201586,2.8,0,0,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,6,2,212,11.3,0,1.5,2.7,2,1,"Ibaka, Serge",201586,1.2,1,2,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,5,1,298,16,0,0.8,18.7,2,0,"Ibaka, Serge",201586,8.9,0,0,carlos boozer,2430,0.50887574,0.591117917
8586,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,10,3,511,19.1,0,1.1,2.3,2,1,"Ibaka, Serge",201586,2.4,1,2,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,7,2,178,9.8,1,5,4.8,2,0,"Ibaka, Serge",201586,2.8,0,0,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,6,2,212,11.3,0,1.5,2.7,2,1,"Ibaka, Serge",201586,1.2,1,2,carlos boozer,2430,0.50887574,0.591117917
8587,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,11,3,391,10.7,1,5.1,16.5,2,1,"Ibaka, Serge",201586,3.8,1,2,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,10,3,511,19.1,0,1.1,2.3,2,1,"Ibaka, Serge",201586,2.4,1,2,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,7,2,178,9.8,1,5,4.8,2,0,"Ibaka, Serge",201586,2.8,0,0,carlos boozer,2430,0.50887574,0.591117917
8588,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,1,1,548,9.7,2,2.2,17.6,2,0,"Zeller, Cody",203469,5.8,0,0,carlos boozer,2430,0.50887574,0.556085919,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,11,3,391,10.7,1,5.1,16.5,2,1,"Ibaka, Serge",201586,3.8,1,2,carlos boozer,2430,0.50887574,0.591117917,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,10,3,511,19.1,0,1.1,2.3,2,1,"Ibaka, Serge",201586,2.4,1,2,carlos boozer,2430,0.50887574,0.591117917
8589,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,3,2,548,11.8,0,0.6,3.3,2,1,"Biyombo, Bismack",202687,2.9,1,2,carlos boozer,2430,0.50887574,0.557788945,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,1,1,548,9.7,2,2.2,17.6,2,0,"Zeller, Cody",203469,5.8,0,0,carlos boozer,2430,0.50887574,0.556085919,21400878,"MAR 01, 2015 - LAL vs. OKC",1,-1,-7,11,3,391,10.7,1,5.1,16.5,2,1,"Ibaka, Serge",201586,3.8,1,2,carlos boozer,2430,0.50887574,0.591117917
8590,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,4,2,522,17,0,0.9,17.7,2,1,"Biyombo, Bismack",202687,10,1,2,carlos boozer,2430,0.50887574,0.557788945,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,3,2,548,11.8,0,0.6,3.3,2,1,"Biyombo, Bismack",202687,2.9,1,2,carlos boozer,2430,0.50887574,0.557788945,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,1,1,548,9.7,2,2.2,17.6,2,0,"Zeller, Cody",203469,5.8,0,0,carlos boozer,2430,0.50887574,0.556085919
8591,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,5,2,489,14.1,1,2.9,17.7,2,0,"Williams, Marvin",101107,4.3,0,0,carlos boozer,2430,0.50887574,0.552188552,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,4,2,522,17,0,0.9,17.7,2,1,"Biyombo, Bismack",202687,10,1,2,carlos boozer,2430,0.50887574,0.557788945,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,3,2,548,11.8,0,0.6,3.3,2,1,"Biyombo, Bismack",202687,2.9,1,2,carlos boozer,2430,0.50887574,0.557788945
8592,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,6,2,239,7.5,0,9.7,17.1,2,0,"Zeller, Cody",203469,3.5,0,0,carlos boozer,2430,0.50887574,0.556085919,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,5,2,489,14.1,1,2.9,17.7,2,0,"Williams, Marvin",101107,4.3,0,0,carlos boozer,2430,0.50887574,0.552188552,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,4,2,522,17,0,0.9,17.7,2,1,"Biyombo, Bismack",202687,10,1,2,carlos boozer,2430,0.50887574,0.557788945
8593,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,1,1,528,13.5,0,1.2,17.9,2,1,"Haslem, Udonis",2617,3.2,1,2,carlos boozer,2430,0.50887574,0.465753425,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,6,2,239,7.5,0,9.7,17.1,2,0,"Zeller, Cody",203469,3.5,0,0,carlos boozer,2430,0.50887574,0.556085919,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,5,2,489,14.1,1,2.9,17.7,2,0,"Williams, Marvin",101107,4.3,0,0,carlos boozer,2430,0.50887574,0.552188552
8594,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,2,1,463,8.6,2,5.7,10.5,2,0,"Haslem, Udonis",2617,3.3,0,0,carlos boozer,2430,0.50887574,0.465753425,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,1,1,528,13.5,0,1.2,17.9,2,1,"Haslem, Udonis",2617,3.2,1,2,carlos boozer,2430,0.50887574,0.465753425,21400890,"MAR 03, 2015 - LAL @ CHA",-1,-1,-1,6,2,239,7.5,0,9.7,17.1,2,0,"Zeller, Cody",203469,3.5,0,0,carlos boozer,2430,0.50887574,0.556085919
